[RUN #1 10%,   9 secs]  1 threads:       11201 ops,    1247 (avg:    1240) ops/sec, 1.15MB/sec (avg: 1.14MB/sec),  3.22 (avg:  3.22) msec latency
[RUN #1 11%,  10 secs]  1 threads:       12425 ops,    1219 (avg:    1237) ops/sec, 1.11MB/sec (avg: 1.13MB/sec),  3.27 (avg:  3.22) msec latency
[RUN #1 12%,  11 secs]  1 threads:       13672 ops,    1242 (avg:    1238) ops/sec, 1.12MB/sec (avg: 1.13MB/sec),  3.22 (avg:  3.22) msec latency
[RUN #1 13%,  12 secs]  1 threads:       14975 ops,    1297 (avg:    1243) ops/sec, 1.17MB/sec (avg: 1.14MB/sec),  3.07 (avg:  3.21) msec latency
[RUN #1 14%,  13 secs]  1 threads:       16179 ops,    1199 (avg:    1239) ops/sec, 1.12MB/sec (avg: 1.13MB/sec),  3.32 (avg:  3.22) msec latency
[RUN #1 16%,  14 secs]  1 threads:       17469 ops,    1284 (avg:    1243) ops/sec, 1.22MB/sec (avg: 1.14MB/sec),  3.11 (avg:  3.21) msec latency
[RUN #1 17%,  15 secs]  1 threads:       18696 ops,    1222 (avg:    1241) ops/sec, 1.14MB/sec (avg: 1.14MB/sec),  3.26 (avg:  3.21) msec latency
[RUN #1 18%,  16 secs]  1 threads:       19914 ops,    1213 (avg:    1239) ops/sec, 1.12MB/sec (avg: 1.14MB/sec),  3.29 (avg:  3.22) msec latency
[RUN #1 19%,  17 secs]  1 threads:       21168 ops,    1249 (avg:    1240) ops/sec, 1.19MB/sec (avg: 1.14MB/sec),  3.19 (avg:  3.22) msec latency
[RUN #1 20%,  18 secs]  1 threads:       22430 ops,    1256 (avg:    1241) ops/sec, 1.14MB/sec (avg: 1.14MB/sec),  3.17 (avg:  3.21) msec latency
[RUN #1 21%,  19 secs]  1 threads:       23634 ops,    1199 (avg:    1239) ops/sec, 1.11MB/sec (avg: 1.14MB/sec),  3.33 (avg:  3.22) msec latency
[RUN #1 22%,  20 secs]  1 threads:       24894 ops,    1254 (avg:    1239) ops/sec, 1.18MB/sec (avg: 1.14MB/sec),  3.19 (avg:  3.22) msec latency
[RUN #1 23%,  21 secs]  1 threads:       26172 ops,    1272 (avg:    1241) ops/sec, 1.14MB/sec (avg: 1.14MB/sec),  3.13 (avg:  3.21) msec latency
