[RUN #1 1%,   1 secs]  2 threads:        1300 ops,    1294 (avg:    1294) ops/sec, 1.33MB/sec (avg: 1.33MB/sec),  3.08 (avg:  3.08) msec latency
[RUN #1 2%,   2 secs]  2 threads:        2615 ops,    1309 (avg:    1301) ops/sec, 1.34MB/sec (avg: 1.34MB/sec),  3.05 (avg:  3.06) msec latency
[RUN #1 3%,   3 secs]  2 threads:        3969 ops,    1348 (avg:    1317) ops/sec, 1.38MB/sec (avg: 1.35MB/sec),  2.96 (avg:  3.03) msec latency
[RUN #1 4%,   4 secs]  2 threads:        5248 ops,    1273 (avg:    1306) ops/sec, 1.31MB/sec (avg: 1.34MB/sec),  3.12 (avg:  3.05) msec latency
[RUN #1 6%,   5 secs]  2 threads:        6546 ops,    1292 (avg:    1303) ops/sec, 1.33MB/sec (avg: 1.34MB/sec),  3.11 (avg:  3.06) msec latency
[RUN #1 7%,   6 secs]  2 threads:        7863 ops,    1311 (avg:    1305) ops/sec, 1.35MB/sec (avg: 1.34MB/sec),  3.04 (avg:  3.06) msec latency
[RUN #1 8%,   7 secs]  2 threads:        9172 ops,    1303 (avg:    1304) ops/sec, 1.34MB/sec (avg: 1.34MB/sec),  3.06 (avg:  3.06) msec latency
[RUN #1 9%,   8 secs]  2 threads:       10432 ops,    1250 (avg:    1298) ops/sec, 1.28MB/sec (avg: 1.33MB/sec),  3.20 (avg:  3.08) msec latency
[RUN #1 10%,   9 secs]  2 threads:       11677 ops,    1235 (avg:    1291) ops/sec, 1.27MB/sec (avg: 1.32MB/sec),  3.23 (avg:  3.09) msec latency
[RUN #1 11%,  10 secs]  2 threads:       12934 ops,    1251 (avg:    1287) ops/sec, 1.28MB/sec (avg: 1.32MB/sec),  3.20 (avg:  3.10) msec latency
[RUN #1 12%,  11 secs]  2 threads:       14276 ops,    1331 (avg:    1291) ops/sec, 1.37MB/sec (avg: 1.32MB/sec),  3.00 (avg:  3.09) msec latency
[RUN #1 13%,  12 secs]  2 threads:       15584 ops,    1297 (avg:    1291) ops/sec, 1.33MB/sec (avg: 1.33MB/sec),  3.06 (avg:  3.09) msec latency
[RUN #1 15%,  13 secs]  2 threads:       16817 ops,    1223 (avg:    1286) ops/sec, 1.25MB/sec (avg: 1.32MB/sec),  3.28 (avg:  3.10) msec latency
[RUN #1 16%,  14 secs]  2 threads:       18064 ops,    1237 (avg:    1282) ops/sec, 1.27MB/sec (avg: 1.32MB/sec),  3.23 (avg:  3.11) msec latency
