[RUN #1 1%,   0 secs]  2 threads:        2068 ops,    2074 (avg:    2074) ops/sec, 2.13MB/sec (avg: 2.13MB/sec), 15.30 (avg: 15.30) msec latency
[RUN #1 2%,   2 secs]  2 threads:        4162 ops,    2085 (avg:    2080) ops/sec, 2.14MB/sec (avg: 2.13MB/sec), 15.27 (avg: 15.29) msec latency
[RUN #1 3%,   3 secs]  2 threads:        6296 ops,    2125 (avg:    2095) ops/sec, 2.18MB/sec (avg: 2.15MB/sec), 15.23 (avg: 15.27) msec latency
[RUN #1 4%,   4 secs]  2 threads:        8371 ops,    2066 (avg:    2088) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.42 (avg: 15.30) msec latency
[RUN #1 6%,   5 secs]  2 threads:       10435 ops,    2055 (avg:    2081) ops/sec, 2.11MB/sec (avg: 2.14MB/sec), 15.50 (avg: 15.34) msec latency
[RUN #1 7%,   6 secs]  2 threads:       12500 ops,    2056 (avg:    2077) ops/sec, 2.11MB/sec (avg: 2.13MB/sec), 15.49 (avg: 15.37) msec latency
[RUN #1 8%,   7 secs]  2 threads:       14594 ops,    2085 (avg:    2078) ops/sec, 2.14MB/sec (avg: 2.13MB/sec), 15.52 (avg: 15.39) msec latency
[RUN #1 9%,   8 secs]  2 threads:       16667 ops,    2064 (avg:    2076) ops/sec, 2.12MB/sec (avg: 2.13MB/sec), 15.43 (avg: 15.39) msec latency
[RUN #1 10%,   9 secs]  2 threads:       18752 ops,    2076 (avg:    2076) ops/sec, 2.13MB/sec (avg: 2.13MB/sec), 15.34 (avg: 15.39) msec latency
[RUN #1 11%,  10 secs]  2 threads:       20814 ops,    2053 (avg:    2074) ops/sec, 2.11MB/sec (avg: 2.13MB/sec), 15.52 (avg: 15.40) msec latency
[RUN #1 12%,  11 secs]  2 threads:       22922 ops,    2099 (avg:    2076) ops/sec, 2.15MB/sec (avg: 2.13MB/sec), 15.41 (avg: 15.40) msec latency
[RUN #1 13%,  12 secs]  2 threads:       25044 ops,    2113 (avg:    2079) ops/sec, 2.17MB/sec (avg: 2.13MB/sec), 15.08 (avg: 15.38) msec latency
[RUN #1 14%,  13 secs]  2 threads:       27163 ops,    2110 (avg:    2082) ops/sec, 2.17MB/sec (avg: 2.14MB/sec), 15.10 (avg: 15.35) msec latency
[RUN #1 16%,  14 secs]  2 threads:       29236 ops,    2064 (avg:    2081) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.43 (avg: 15.36) msec latency
[RUN #1 17%,  15 secs]  2 threads:       31411 ops,    2166 (avg:    2086) ops/sec, 2.22MB/sec (avg: 2.14MB/sec), 14.94 (avg: 15.33) msec latency
[RUN #1 18%,  16 secs]  2 threads:       33527 ops,    2107 (avg:    2088) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.12 (avg: 15.32) msec latency
[RUN #1 19%,  17 secs]  2 threads:       35599 ops,    2063 (avg:    2086) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.44 (avg: 15.32) msec latency
[RUN #1 20%,  18 secs]  2 threads:       37718 ops,    2110 (avg:    2087) ops/sec, 2.17MB/sec (avg: 2.14MB/sec), 15.10 (avg: 15.31) msec latency
[RUN #1 21%,  19 secs]  2 threads:       39823 ops,    2096 (avg:    2088) ops/sec, 2.15MB/sec (avg: 2.14MB/sec), 15.43 (avg: 15.32) msec latency
[RUN #1 22%,  20 secs]  2 threads:       41896 ops,    2064 (avg:    2087) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.43 (avg: 15.32) msec latency
[RUN #1 23%,  21 secs]  2 threads:       43991 ops,    2086 (avg:    2087) ops/sec, 2.14MB/sec (avg: 2.14MB/sec), 15.27 (avg: 15.32) msec latency
[RUN #1 25%,  22 secs]  2 threads:       46104 ops,    2104 (avg:    2087) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.14 (avg: 15.31) msec latency
[RUN #1 26%,  23 secs]  2 threads:       48216 ops,    2103 (avg:    2088) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.39 (avg: 15.32) msec latency
[RUN #1 27%,  24 secs]  2 threads:       50278 ops,    2053 (avg:    2087) ops/sec, 2.11MB/sec (avg: 2.14MB/sec), 15.52 (avg: 15.32) msec latency
[RUN #1 28%,  25 secs]  2 threads:       52326 ops,    2039 (avg:    2085) ops/sec, 2.09MB/sec (avg: 2.14MB/sec), 15.63 (avg: 15.34) msec latency
[RUN #1 29%,  26 secs]  2 threads:       54377 ops,    2042 (avg:    2083) ops/sec, 2.10MB/sec (avg: 2.14MB/sec), 15.59 (avg: 15.35) msec latency
[RUN #1 30%,  27 secs]  2 threads:       56497 ops,    2111 (avg:    2084) ops/sec, 2.17MB/sec (avg: 2.14MB/sec), 15.35 (avg: 15.35) msec latency
[RUN #1 31%,  28 secs]  2 threads:       58578 ops,    2072 (avg:    2084) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.35 (avg: 15.35) msec latency
[RUN #1 32%,  29 secs]  2 threads:       60630 ops,    2043 (avg:    2082) ops/sec, 2.10MB/sec (avg: 2.14MB/sec), 15.59 (avg: 15.35) msec latency
[RUN #1 33%,  30 secs]  2 threads:       62703 ops,    2064 (avg:    2082) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.43 (avg: 15.36) msec latency
[RUN #1 35%,  31 secs]  2 threads:       64844 ops,    2132 (avg:    2083) ops/sec, 2.19MB/sec (avg: 2.14MB/sec), 15.19 (avg: 15.35) msec latency
[RUN #1 36%,  32 secs]  2 threads:       66975 ops,    2122 (avg:    2085) ops/sec, 2.18MB/sec (avg: 2.14MB/sec), 15.00 (avg: 15.34) msec latency
[RUN #1 37%,  33 secs]  2 threads:       69062 ops,    2078 (avg:    2084) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.33 (avg: 15.34) msec latency
[RUN #1 38%,  34 secs]  2 threads:       71175 ops,    2104 (avg:    2085) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.14 (avg: 15.33) msec latency
[RUN #1 39%,  35 secs]  2 threads:       73316 ops,    2132 (avg:    2086) ops/sec, 2.19MB/sec (avg: 2.14MB/sec), 15.18 (avg: 15.33) msec latency
[RUN #1 40%,  36 secs]  2 threads:       75434 ops,    2109 (avg:    2087) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.11 (avg: 15.32) msec latency
[RUN #1 41%,  37 secs]  2 threads:       77518 ops,    2075 (avg:    2087) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.35 (avg: 15.32) msec latency
[RUN #1 42%,  38 secs]  2 threads:       79628 ops,    2101 (avg:    2087) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.40 (avg: 15.33) msec latency
[RUN #1 43%,  39 secs]  2 threads:       81784 ops,    2147 (avg:    2089) ops/sec, 2.20MB/sec (avg: 2.14MB/sec), 14.84 (avg: 15.31) msec latency
[RUN #1 45%,  40 secs]  2 threads:       83866 ops,    2073 (avg:    2088) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.36 (avg: 15.31) msec latency
[RUN #1 46%,  41 secs]  2 threads:       85924 ops,    2049 (avg:    2087) ops/sec, 2.10MB/sec (avg: 2.14MB/sec), 15.55 (avg: 15.32) msec latency
[RUN #1 47%,  42 secs]  2 threads:       88028 ops,    2095 (avg:    2087) ops/sec, 2.15MB/sec (avg: 2.14MB/sec), 15.44 (avg: 15.32) msec latency
[RUN #1 48%,  43 secs]  2 threads:       90183 ops,    2146 (avg:    2089) ops/sec, 2.20MB/sec (avg: 2.14MB/sec), 14.86 (avg: 15.31) msec latency
[RUN #1 49%,  44 secs]  2 threads:       92298 ops,    2106 (avg:    2089) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.11 (avg: 15.31) msec latency
[RUN #1 50%,  45 secs]  2 threads:       94438 ops,    2131 (avg:    2090) ops/sec, 2.19MB/sec (avg: 2.14MB/sec), 14.95 (avg: 15.30) msec latency
[RUN #1 51%,  46 secs]  2 threads:       96596 ops,    2149 (avg:    2091) ops/sec, 2.21MB/sec (avg: 2.15MB/sec), 15.05 (avg: 15.29) msec latency
[RUN #1 52%,  47 secs]  2 threads:       98644 ops,    2039 (avg:    2090) ops/sec, 2.09MB/sec (avg: 2.14MB/sec), 15.62 (avg: 15.30) msec latency
[RUN #1 54%,  48 secs]  2 threads:      100727 ops,    2074 (avg:    2090) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.36 (avg: 15.30) msec latency
[RUN #1 55%,  49 secs]  2 threads:      102807 ops,    2071 (avg:    2090) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.38 (avg: 15.30) msec latency
[RUN #1 56%,  50 secs]  2 threads:      104914 ops,    2098 (avg:    2090) ops/sec, 2.15MB/sec (avg: 2.14MB/sec), 15.42 (avg: 15.31) msec latency
[RUN #1 57%,  51 secs]  2 threads:      106994 ops,    2071 (avg:    2089) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.38 (avg: 15.31) msec latency
[RUN #1 58%,  52 secs]  2 threads:      109109 ops,    2106 (avg:    2090) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.13 (avg: 15.30) msec latency
[RUN #1 59%,  53 secs]  2 threads:      111181 ops,    2063 (avg:    2089) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.47 (avg: 15.31) msec latency
[RUN #1 60%,  54 secs]  2 threads:      113269 ops,    2079 (avg:    2089) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.56 (avg: 15.31) msec latency
[RUN #1 61%,  55 secs]  2 threads:      115317 ops,    2039 (avg:    2088) ops/sec, 2.09MB/sec (avg: 2.14MB/sec), 15.62 (avg: 15.32) msec latency
[RUN #1 62%,  56 secs]  2 threads:      117368 ops,    2042 (avg:    2087) ops/sec, 2.10MB/sec (avg: 2.14MB/sec), 15.60 (avg: 15.32) msec latency
[RUN #1 64%,  57 secs]  2 threads:      119419 ops,    2042 (avg:    2086) ops/sec, 2.10MB/sec (avg: 2.14MB/sec), 15.60 (avg: 15.33) msec latency
[RUN #1 65%,  58 secs]  2 threads:      121502 ops,    2074 (avg:    2086) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.61 (avg: 15.33) msec latency
[RUN #1 66%,  59 secs]  2 threads:      123550 ops,    2039 (avg:    2085) ops/sec, 2.09MB/sec (avg: 2.14MB/sec), 15.62 (avg: 15.34) msec latency
[RUN #1 67%,  60 secs]  2 threads:      125607 ops,    2048 (avg:    2085) ops/sec, 2.10MB/sec (avg: 2.14MB/sec), 15.55 (avg: 15.34) msec latency
[RUN #1 68%,  61 secs]  2 threads:      127671 ops,    2055 (avg:    2084) ops/sec, 2.11MB/sec (avg: 2.14MB/sec), 15.50 (avg: 15.34) msec latency
[RUN #1 69%,  62 secs]  2 threads:      129758 ops,    2078 (avg:    2084) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.57 (avg: 15.35) msec latency
[RUN #1 70%,  63 secs]  2 threads:      131857 ops,    2090 (avg:    2084) ops/sec, 2.14MB/sec (avg: 2.14MB/sec), 15.24 (avg: 15.34) msec latency
[RUN #1 71%,  64 secs]  2 threads:      133966 ops,    2100 (avg:    2085) ops/sec, 2.16MB/sec (avg: 2.14MB/sec), 15.21 (avg: 15.34) msec latency
[RUN #1 73%,  65 secs]  2 threads:      136038 ops,    2063 (avg:    2084) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.42 (avg: 15.34) msec latency
[RUN #1 74%,  66 secs]  2 threads:      138132 ops,    2085 (avg:    2084) ops/sec, 2.14MB/sec (avg: 2.14MB/sec), 15.52 (avg: 15.35) msec latency
[RUN #1 75%,  67 secs]  2 threads:      140235 ops,    2094 (avg:    2084) ops/sec, 2.15MB/sec (avg: 2.14MB/sec), 15.21 (avg: 15.34) msec latency
[RUN #1 76%,  68 secs]  2 threads:      142284 ops,    2040 (avg:    2084) ops/sec, 2.09MB/sec (avg: 2.14MB/sec), 15.61 (avg: 15.35) msec latency
[RUN #1 77%,  69 secs]  2 threads:      144379 ops,    2086 (avg:    2084) ops/sec, 2.14MB/sec (avg: 2.14MB/sec), 15.28 (avg: 15.35) msec latency
[RUN #1 78%,  70 secs]  2 threads:      146459 ops,    2071 (avg:    2084) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.62 (avg: 15.35) msec latency
[RUN #1 79%,  71 secs]  2 threads:      148531 ops,    2063 (avg:    2083) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.44 (avg: 15.35) msec latency
[RUN #1 80%,  72 secs]  2 threads:      150625 ops,    2085 (avg:    2083) ops/sec, 2.14MB/sec (avg: 2.14MB/sec), 15.28 (avg: 15.35) msec latency
[RUN #1 81%,  73 secs]  2 threads:      152796 ops,    2162 (avg:    2084) ops/sec, 2.22MB/sec (avg: 2.14MB/sec), 14.75 (avg: 15.34) msec latency
[RUN #1 83%,  74 secs]  2 threads:      154890 ops,    2085 (avg:    2084) ops/sec, 2.14MB/sec (avg: 2.14MB/sec), 15.50 (avg: 15.34) msec latency
[RUN #1 84%,  75 secs]  2 threads:      156951 ops,    2052 (avg:    2084) ops/sec, 2.11MB/sec (avg: 2.14MB/sec), 15.53 (avg: 15.35) msec latency
[RUN #1 85%,  76 secs]  2 threads:      159071 ops,    2111 (avg:    2084) ops/sec, 2.17MB/sec (avg: 2.14MB/sec), 15.10 (avg: 15.34) msec latency
[RUN #1 86%,  77 secs]  2 threads:      161227 ops,    2147 (avg:    2085) ops/sec, 2.20MB/sec (avg: 2.14MB/sec), 14.85 (avg: 15.34) msec latency
[RUN #1 87%,  78 secs]  2 threads:      163315 ops,    2079 (avg:    2085) ops/sec, 2.13MB/sec (avg: 2.14MB/sec), 15.56 (avg: 15.34) msec latency
[RUN #1 88%,  79 secs]  2 threads:      165415 ops,    2091 (avg:    2085) ops/sec, 2.15MB/sec (avg: 2.14MB/sec), 15.23 (avg: 15.34) msec latency
[RUN #1 89%,  80 secs]  2 threads:      167516 ops,    2092 (avg:    2085) ops/sec, 2.15MB/sec (avg: 2.14MB/sec), 15.23 (avg: 15.34) msec latency
[RUN #1 90%,  81 secs]  2 threads:      169640 ops,    2115 (avg:    2086) ops/sec, 2.17MB/sec (avg: 2.14MB/sec), 15.06 (avg: 15.33) msec latency
[RUN #1 91%,  82 secs]  2 threads:      171765 ops,    2116 (avg:    2086) ops/sec, 2.17MB/sec (avg: 2.14MB/sec), 15.29 (avg: 15.33) msec latency
[RUN #1 93%,  83 secs]  2 threads:      173840 ops,    2066 (avg:    2086) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.42 (avg: 15.33) msec latency
[RUN #1 94%,  84 secs]  2 threads:      175904 ops,    2055 (avg:    2085) ops/sec, 2.11MB/sec (avg: 2.14MB/sec), 15.51 (avg: 15.34) msec latency
[RUN #1 95%,  85 secs]  2 threads:      177966 ops,    2053 (avg:    2085) ops/sec, 2.11MB/sec (avg: 2.14MB/sec), 15.51 (avg: 15.34) msec latency
[RUN #1 96%,  86 secs]  2 threads:      180094 ops,    2119 (avg:    2085) ops/sec, 2.17MB/sec (avg: 2.14MB/sec), 15.27 (avg: 15.34) msec latency
[RUN #1 97%,  87 secs]  2 threads:      182171 ops,    2068 (avg:    2085) ops/sec, 2.12MB/sec (avg: 2.14MB/sec), 15.40 (avg: 15.34) msec latency
[RUN #1 98%,  88 secs]  2 threads:      184238 ops,    2058 (avg:    2085) ops/sec, 2.11MB/sec (avg: 2.14MB/sec), 15.48 (avg: 15.34) msec latency
[RUN #1 99%,  89 secs]  2 threads:      186340 ops,    2093 (avg:    2085) ops/sec, 2.15MB/sec (avg: 2.14MB/sec), 15.22 (avg: 15.34) msec latency
