[RUN #1 1%,   1 secs]  2 threads:        1452 ops,    1449 (avg:    1449) ops/sec, 1.47MB/sec (avg: 1.47MB/sec),  5.51 (avg:  5.51) msec latency
[RUN #1 2%,   2 secs]  2 threads:        2991 ops,    1532 (avg:    1491) ops/sec, 1.56MB/sec (avg: 1.51MB/sec),  5.20 (avg:  5.35) msec latency
[RUN #1 3%,   3 secs]  2 threads:        4598 ops,    1600 (avg:    1527) ops/sec, 1.62MB/sec (avg: 1.55MB/sec),  5.01 (avg:  5.23) msec latency
[RUN #1 4%,   4 secs]  2 threads:        6304 ops,    1699 (avg:    1570) ops/sec, 1.72MB/sec (avg: 1.59MB/sec),  4.70 (avg:  5.09) msec latency
[RUN #1 6%,   5 secs]  2 threads:        8052 ops,    1741 (avg:    1604) ops/sec, 1.77MB/sec (avg: 1.63MB/sec),  4.60 (avg:  4.98) msec latency
[RUN #1 7%,   6 secs]  2 threads:        9814 ops,    1754 (avg:    1629) ops/sec, 1.78MB/sec (avg: 1.65MB/sec),  4.55 (avg:  4.90) msec latency
[RUN #1 8%,   7 secs]  2 threads:       11551 ops,    1730 (avg:    1644) ops/sec, 1.76MB/sec (avg: 1.67MB/sec),  4.62 (avg:  4.86) msec latency
[RUN #1 9%,   8 secs]  2 threads:       13318 ops,    1759 (avg:    1658) ops/sec, 1.79MB/sec (avg: 1.68MB/sec),  4.53 (avg:  4.82) msec latency
[RUN #1 10%,   9 secs]  2 threads:       15067 ops,    1742 (avg:    1667) ops/sec, 1.77MB/sec (avg: 1.69MB/sec),  4.60 (avg:  4.79) msec latency
[RUN #1 11%,  10 secs]  2 threads:       16780 ops,    1706 (avg:    1671) ops/sec, 1.73MB/sec (avg: 1.70MB/sec),  4.68 (avg:  4.78) msec latency
[RUN #1 12%,  11 secs]  2 threads:       18488 ops,    1701 (avg:    1674) ops/sec, 1.73MB/sec (avg: 1.70MB/sec),  4.69 (avg:  4.77) msec latency
